description,department,severity,is_augmented
Urgent: large pits on main village road causing accidents,Road,High,1
large craters on main village asphalt causing accidents,Road,High,1
Broken water tap causing wastage in the village,Water,Medium,0
fractured water tap causing wastage in the village,Water,Medium,1
damaged water tap causing wastage in the village,Water,Medium,1
broken water tap causing wastage in the village,Water,Medium,1
Road damage causing traffic congestion,Road,Low,0
highway damage causing traffic congestion,Road,Low,1
pavement damage causing traffic congestion,Road,Low,1
Water pipeline needs urgent repair,Water,Medium,0
tap water pipeline require immediates urgent restoration,Water,Medium,1
Urgent: water water lineline needs urgent maintenance,Water,Medium,1
drinking water pipelineline urgents urgent maintenance,Water,Medium,1
water mainline requires urgent repair,Water,Medium,1
"Drainage system is blocked, causing water stagnation",Water,Low,0
"drainage system is blocked, causing drinking water stagnation",Water,Low,1
"Urgent: drainage system is blocked, causing tap water stagnation",Water,Low,1
"drainage system is blocked, causing water supply stagnation",Water,Low,1
Street light is not working for weeks,Electricity,High,0
street light is not working for weeks,Electricity,High,1
Urgent: street light is not working for weeks,Electricity,High,1
Power wire is broken and hanging near road,Electricity,Low,0
power line is broken and hanging near street,Electricity,Low,1
Urgent: power electric line is fractured and hanging close to highway,Electricity,Low,1
power electric line is broken and hanging at highway,Electricity,Low,1
power cable is damaged and hanging near asphalt,Electricity,Low,1
Uneven road surface near market area,Road,Medium,0
uneven road surface close to market area,Road,Medium,1
uneven pavement surface by market area,Road,Medium,1
Urgent: uneven road surface close to market area,Road,Medium,1
Urgent: uneven pavement surface near market area,Road,Medium,1
Street light is not working for weeks,Electricity,High,0
street light is not working for weeks,Electricity,High,1
Urgent: street light is not working for weeks,Electricity,High,1
Cracks on road after heavy rainfall,Road,Medium,0
Urgent: splits on pavement after heavy rainfall,Road,Medium,1
crevices on road after heavy rainfall,Road,Medium,1
fractures on highway after heavy rainfall,Road,Medium,1
splits on pavement after heavy rainfall,Road,Medium,1
Sewage water is mixing with drinking water supply,Water,Low,0
Urgent: sewage water is mixing with drinking water supply,Water,Low,1
sewage drinking water is mixing with drinking drinking water supply,Water,Low,1
Urgent: sewage tap water is mixing with drinking tap water supply,Water,Low,1
